Marca,Modelo,Archivo esperado,Fuente oficial (descarga aquí),Tipo fuente
BMW,iX1,/img/modelos/bmw-ix1.png,https://www.press.bmwgroup.com/global/article/topic/13177/bmw-ix1/,Sala de prensa (alta resolución)
Maserati,Grecale,/img/modelos/maserati-grecale.png,https://www.media.maserati.com/models/grecale,Sala de prensa (alta resolución)
Mazda,2,/img/modelos/mazda-2.png,https://www.mazda.es/nuestros-coches/mazda2-hybrid/,Web oficial Mazda España
Mazda,3,/img/modelos/mazda-3.png,https://www.mazda.es/nuestros-coches/nuevo-mazda3/,Web oficial Mazda España
MG,MG3,/img/modelos/mg-mg3.png,https://news.mgmotor.eu/es/press/presentacion-mg3-hybrid/,Sala de prensa MG Europe
Mercedes-Benz,Citan,/img/modelos/mercedes-benz-citan.png,https://media.mercedes-benz.com/,MediaSite (buscar "Citan")
Mercedes-Benz,CLA,/img/modelos/mercedes-benz-cla.png,https://media.mercedes-benz.com/,MediaSite (buscar "CLA 250+ EQ")
Mercedes-Benz,GLB,/img/modelos/mercedes-benz-glb.png,https://media.mercedes-benz.com/,MediaSite (buscar "GLB 250+")
Mercedes-Benz,GLC,/img/modelos/mercedes-benz-glc.png,https://media.mercedes-benz.com/,MediaSite (buscar "GLC 220 d")
Mercedes-Benz,GLC Coupé,/img/modelos/mercedes-benz-glc-coupe.png,https://media.mercedes-benz.com/,MediaSite (buscar "GLC Coupé 300 de")
Mercedes-Benz,GLE Coupé,/img/modelos/mercedes-benz-gle-coupe.png,https://media.mercedes-benz.com/,MediaSite (buscar "GLE Coupé")
Mercedes-Benz,Clase GLE,/img/modelos/mercedes-benz-clase-gle.png,https://media.mercedes-benz.com/,MediaSite (buscar "GLE 350 de")
Kia,PV5 Passenger,/img/modelos/kia-pv5-passenger.png,https://www.kiapressoffice.com/models/pv5-passenger,Sala de prensa Kia
Kia,PV5 (Passenger),/img/modelos/kia-pv5.png,https://www.kiapressoffice.com/models/pv5-passenger,Sala de prensa Kia
Kia,PV5 Cargo,/img/modelos/kia-pv5-cargo.png,https://www.kiapressoffice.com/models/pv5-cargo,Sala de prensa Kia
Ebro,S800,/img/modelos/ebro-s800.png,https://www.ebroauto.com/ebro-modelos/s800-phev,Web oficial Ebro
Jaecoo,8,/img/modelos/jaecoo-8.png,https://www.omodajaecoo.es/modelos/jaecoo-8,Web oficial Omoda&Jaecoo España
Nissan,Interstar,/img/modelos/nissan-interstar.png,https://spain.nissannews.com/es-ES/channels/vehiculos-comerciales,Newsroom Nissan España
Nissan,Townstar,/img/modelos/nissan-townstar.png,https://spain.nissannews.com/es-ES/channels/vehiculos-comerciales,Newsroom Nissan España
