Marca,Modelo,Version,Estado foto,Archivo esperado
Alfa,Romeo Junior,Alfa Romeo Junior Ibrida Ti 1.2 Vgt,OK (local),/img/modelos/alfa-romeo-junior.png
Audi,A1,Audi A1 Sb Adrenalin Edition 30Tfsi 116Cv Stronic,OK (local),/img/modelos/audi-a1.png
Bmw,Ix1,Bmw Ix1 Edrive20,EXTERNA (falta local),/img/modelos/bmw-ix1.png
Bmw,Serie 1,Bmw Serie 1 120,OK (local),/img/modelos/bmw-serie-1.png
Byd,Atto,Byd Atto Atto 2 Dm-I,OK (local),/img/modelos/byd-atto.png
Byd,Atto 2,Byd Atto 2 Dm-I Boost,OK (local),/img/modelos/byd-atto-2.png
Byd,Dolphin,Byd Dolphin Dolphin Surf Boost,OK (local),/img/modelos/byd-dolphin.png
Byd,Dolphin Surf,Byd Dolphin Surf Boost,OK (local),/img/modelos/byd-dolphin-surf.png
Citroen,Berlingo,Citroen Berlingo Van Furgón M,OK (local),/img/modelos/citroen-berlingo.png
Citroen,E Berlingo,Citroën Ë-Berlingo Ë-Berlingo Van M Carga Incr 100Kw 50Kwh,OK (local),/img/modelos/citroen-e-berlingo.png
Citroen,E-Berlingo,Citroen Eberlingo Van Talla M,OK (local),/img/modelos/citroen-e-berlingo.png
Dacia,Sandero,Dacia Sandero Stepway Expression Eco-G 120 Auto,OK (local),/img/modelos/dacia-sandero.png
Ebro,S400,Ebro S400 1.5 Dhe Hev Excellence Cvt,OK (local),/img/modelos/ebro-s400.png
Ebro,S800,Ebro S800 1.5 Tgdi Phev Luxury E-Cvt,EXTERNA (falta local),/img/modelos/ebro-s800.png
Hyundai,Tucson,Hyundai Tucson 1.6T 239Cv Hev At Klass,OK (local),/img/modelos/hyundai-tucson.png
Jaecoo,5,Jaecoo 5 Hev Exclusive 1.5T Dhe + 2 Motores Eléctricos 224 Cv,OK (local),/img/modelos/jaecoo-5.png
Jaecoo,7,Jaecoo 7 Phev Business,OK (local),/img/modelos/jaecoo-7.png
Jaecoo,8,Jaecoo 8 Phev Exclusive 1.5 Tgdi 428Cv 7 Plazas,EXTERNA (falta local),/img/modelos/jaecoo-8.png
Kia,Pv5,Kia Pv5 Passenger L2H1 Long Range Plus,EXTERNA (falta local),/img/modelos/kia-pv5.png
Kia,Pv5 Cargo,Kia Pv5 Cargo L2H1 Lr Essenitial,EXTERNA (falta local),/img/modelos/kia-pv5-cargo.png
Kia,Pv5 Passenger,Kia Pv5 Passenger L2H1 Lr Plus,EXTERNA (falta local),/img/modelos/kia-pv5-passenger.png
Lancia,Ypsilon,Lancia Ypsilon Lx Ibrida,OK (local),/img/modelos/lancia-ypsilon.png
Maserati,Grecale,Maserati Grecale L4 Mhev 300Cv Awd,EXTERNA (falta local),/img/modelos/maserati-grecale.png
Mazda,2,Mazda 2 Hybrid 2026 1.5 85Kw 116Cv Cvt Centre-Line,EXTERNA (falta local),/img/modelos/mazda-2.png
Mazda,3,Mazda 3 2027 2.5L E-Skyactuv H Mhev 140Cv 6Mt Fwd Prime-Line,EXTERNA (falta local),/img/modelos/mazda-3.png
