Marca,Modelo,Version completa,Desde (€/mes)
ALFA ROMEO,JUNIOR,ALFA ROMEO JUNIOR IBRIDA TI 1.2 VGT,365
ALFA ROMEO,JUNIOR,Alfa Romeo Junior Ibrida Ti 108kW (145CV),442
AUDI,A1,AUDI A1 SB ADRENALIN EDITION 30TFSI 116CV STRONIC,329
AUDI,A1,Audi A1 Sportback Adrenalin 30 TFSI 85kW S tron,381
BMW,IX1,BMW iX1 eDrive20,676
BMW,SERIE 1,BMW Serie 1 120,519
BMW,SERIE 1,BMW Serie 1 120d,526
BYD,ATTO,BYD ATTO ATTO 2 DM-i,405
BYD,ATTO 2,BYD Atto 2 DM-i Boost,490
BYD,DOLPHIN,BYD DOLPHIN DOLPHIN SURF BOOST,381
BYD,DOLPHIN SURF,BYD Dolphin Surf Boost,461
CITROEN,BERLINGO,CITROEN BERLINGO VAN FURGÓN M,335
CITROEN,BERLINGO,Citroën Berlingo Talla M BlueHDi 100,405
CITROEN,E BERLINGO,Citroën ë-Berlingo ë-Berlingo Van M Carga Incr 100kW 50kWh,652
CITROEN,E-BERLINGO,CITROEN eBERLINGO VAN TALLA M,539
DACIA,SANDERO,DACIA SANDERO STEPWAY EXPRESSION ECO-G 120 AUTO,256
EBRO,S400,EBRO S400 1.5 DHE HEV EXCELLENCE CVT,362
EBRO,S800,EBRO S800 1.5 TGDI PHEV Luxury E-CVT,600
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6T 239CV HEV AT KLASS,367
JAECOO,5,JAECOO 5 HEV EXCLUSIVE 1.5T DHE + 2 MOTORES ELÉCTRICOS 224 CV,369
JAECOO,5,JAECOO 5 BEV EXCLUSIVE 211CV,493
JAECOO,7,JAECOO 7 PHEV BUSINESS,447
JAECOO,8,JAECOO 8 PHEV EXCLUSIVE 1.5 TGDI 428CV 7 plazas,635
KIA,PV5,KIA PV5 Passenger L2H1 Long Range Plus,592
KIA,PV5,KIA PV5 Cargo L2H1 Long Range Essential,613
KIA,PV5 CARGO,KIA PV5 CARGO L2H1 LR ESSENITIAL,507
KIA,PV5 PASSENGER,KIA PV5 PASSENGER L2H1 LR PLUS,489
LANCIA,YPSILON,LANCIA YPSILON LX IBRIDA,309
MASERATI,GRECALE,Maserati Grecale L4 MHEV 300CV AWD,1441
MAZDA,2,MAZDA 2 HYBRID 2026 1.5 85KW 116CV CVT CENTRE-LINE,283
MAZDA,3,MAZDA 3 2027 2.5L e-SKYACTUV H MHEV 140CV 6MT FWD PRIME-LINE,266
MAZDA,3,MAZDA 3 2027 2.5L e-SKYACTUV H MHEV 140CV 6AT FWD CENTRE-LINE,301
MAZDA,CX-30,MAZDA CX-30 2027 2.5L e-SKYACTIV H MHEV 140CV 6MT FWD PRIME-LINE,309
MAZDA,CX-30,MAZDA CX-30 AT 2027 2.5L e-SKYACTIV H MHEV 140CV 6AT PFWD PRIME-LINE,328
MAZDA,CX-5,MAZDA CX-5 2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,404
MAZDA,CX-60,MAZDA CX-60 2.5L e-SKYACTIV PHEV AWD 241kW (327 CV) 8AT EXCLUSIVE-LINE,552
MERCEDES BENZ,CITAN,Mercedes-Benz CITAN 110 CDI 70kW Furgón Base Cargo,417
MERCEDES BENZ,CITAN,Mercedes-Benz CITAN 110 CDI 70kW Tourer Base,490
MERCEDES BENZ,CLA,Mercedes-Benz CLA CLA 250+ con tecnología EQ,984
MERCEDES BENZ,CLA,Mercedes-Benz CLA CLA 250+ SB con tecnología EQ,1062
MERCEDES BENZ,CLASE GLE,Mercedes-Benz Clase GLE GLE 350 de 4MATIC,1496
MERCEDES BENZ,GLB,Mercedes-Benz GLB GLB 250+,1015
MERCEDES BENZ,GLC,Mercedes-Benz GLC GLC 220 d 4MATIC,928
MERCEDES BENZ,GLC,Mercedes-Benz GLC GLC 200 4MATIC,1020
MERCEDES BENZ,GLC,Mercedes-Benz GLC GLC 400 4MATIC con tecnología EQ,1326
MERCEDES BENZ,GLC COUPE,Mercedes-Benz GLC Coupé GLC 300 de 4MATIC,1003
MERCEDES BENZ,GLE COUPE,Mercedes-Benz GLE Coupé,1407
MG,MG3,MG3 Hybrid+ Business MY25.5,325
MG,MG3,MG3 1.5 Comfort,426
MG,ZS,MG ZS Hybrid+ Business,369
NISSAN,INTERSTAR,"Nissan Interstar Furgón L2H2 3,5T 96kW FWD Acenta",498
NISSAN,JUKE,Nissan Juke 1.6 Hybrid 105kW (145CV) N-Connecta,386
NISSAN,MICRA,Nissan Micra Standard Range 4x2 N-Connecta,514
NISSAN,QASHQAI,Nissan Qashqai DIG-T 103kW (140CV) mHEV 4x2 Acenta,333
NISSAN,QASHQAI,NISSAN QASHQAI DIG-T MILD HYBRID 12V ACENTA,351
