Marca,Modelo,Version,Potencia,Combustible,Consumo,Plazas
OPEL,CORSA,OPEL CORSA GS 1.2T,100 CV,Gasolina,"5,5 L/100",5
DACIA,SANDERO,DACIA SANDERO STEPWAY EXPRESSION ECO-G 120 AUTO,120 CV,GLP,"6,5 L/100",5
RENAULT,CAPTUR,RENAULT CAPTUR EVOLUTION ECO-G SS,140 CV,GLP,"5,8 L/100",5
MAZDA,3,MAZDA 3 2027 2.5L e-SKYACTUV H MHEV 140CV 6MT FWD PRIME-LINE,140 CV,Híbrido,"5,3 L/100",5
TOYOTA,YARIS,TOYOTA YARIS ACTIVE 120H 116CV,116 CV,Híbrido,"4,5 L/100",5
SKODA,KAMIQ,ŠKODA KAMIQ SELECTION 1.0 TSI 115CV MANUAL,115 CV,Gasolina,"5,8 L/100",5
VOLKSWAGEN,POLO,VOLKSWAGEN POLO MATCH 1.0 TSI 70kW 95CV,95 CV,Gasolina,"5,3 L/100",5
MAZDA,2,MAZDA 2 HYBRID 2026 1.5 85KW 116CV CVT CENTRE-LINE,116 CV,Híbrido,"3,8 L/100",5
SKODA,KAMIQ,ŠKODA KAMIQ SELECTION 1.0 TSI 115CV DSG,115 CV,Gasolina,"5,8 L/100",5
PEUGEOT,208,Peugeot 208 Allure Gasolina 100 S&S 6 Vel. MAN,100 CV,Gasolina,"5,3 L/100",5
OPEL,CORSA,Opel Corsa 1.2T XHL 74kW (100CV) GS,100 CV,Gasolina,"5,5 L/100",5
MAZDA,3,MAZDA 3 2027 2.5L e-SKYACTUV H MHEV 140CV 6AT FWD CENTRE-LINE,140 CV,Híbrido,"5,3 L/100",5
LANCIA,YPSILON,LANCIA YPSILON LX IBRIDA,110 CV,Híbrido,"5,9 L/100",5
PEUGEOT,RIFTER,PEUGEOT RIFTER ACTIVE BUSINESS STANDARD N1 BLUEHDi 100 S/S,102 CV,Diésel,"5,4 L/100",5
MAZDA,CX-30,MAZDA CX-30 2027 2.5L e-SKYACTIV H MHEV 140CV 6MT FWD PRIME-LINE,140 CV,Híbrido,"6,5 L/100",5
OPEL,FRONTERA,OPEL FRONTERA GS 1.2 T XHT HYBRID eDCT6 S/S,102 CV,Híbrido,"6,5 L/100",5
RENAULT,SYMBIOZ,RENAULT SYMBIOZ EVOLUTION E-TECH FULL HYBRID,145 CV,Híbrido,"4,7 L/100",5
SKODA,FABIA,Skoda Fabia 1.5 TSI 110KW (150CV) DSG Plus,150 CV,Gasolina,"6,5 L/100",5
TOYOTA,PROACE CITY,TOYOTA PROACE CITY VAN L1 GX,100 CV,Diésel,"5,5 L/100",2
MG,MG3,MG3 Hybrid+ Business MY25.5,194 CV,Híbrido,"4,4 L/100",5
MAZDA,CX-30,MAZDA CX-30 AT 2027 2.5L e-SKYACTIV H MHEV 140CV 6AT PFWD PRIME-LINE,140 CV,Híbrido,"6,5 L/100",5
TOYOTA,PROACE CITY,TOYOTA PROACE CITY VAN L1 GX PLUS,100 CV,Diésel,"5,5 L/100",2
AUDI,A1,AUDI A1 SB ADRENALIN EDITION 30TFSI 116CV STRONIC,116 CV,Gasolina,"5,4 L/100",5
NISSAN,QASHQAI,Nissan Qashqai DIG-T 103kW (140CV) mHEV 4x2 Acenta,140 CV,Híbrido,"6,5 L/100",5
TOYOTA,PROACE CITY,TOYOTA PROACE CITY COMBI L2 GX PLUS 100 CV,100 CV,Diésel,"5,5 L/100",5
CITROEN,BERLINGO,CITROEN BERLINGO VAN FURGÓN M,102 CV,Diésel,"5,1 L/100",3
SEAT,LEON,SEAT LEON 2.0 TDI CR ST/SP STYLE XL,150 CV,Diésel,"5,1 L/100",5
OMODA,5,OMODA 5 HEV BUSINESS,224 CV,Híbrido,"6,5 L/100",5
TOYOTA,YARIS CROSS,TOYOTA YARIS CROSS ACTIVE PLUS 130H ACTIVE,130 CV,Híbrido,"4,5 L/100",5
OPEL,MOKKA,Opel Mokka 1.2 T XHT Hybrid eDCT6 GS,136 CV,Híbrido,"5,1 L/100",5
NISSAN,QASHQAI,NISSAN QASHQAI DIG-T MILD HYBRID 12V ACENTA,140 CV,Híbrido,"6,5 L/100",5
VOLKSWAGEN,T-ROC,"VOLKSWAGEN T-ROC ""MÁS"" 1.5 eTSI 85kW 116CV DSG",116 CV,Gasolina,"5,1 L/100",5
EBRO,S400,EBRO S400 1.5 DHE HEV EXCELLENCE CVT,211 CV,Híbrido,"5,5 L/100",5
SKODA,OCTAVIA,ŠKODA OCTAVIA LIMO SELECTION 2.0 TDI 150CV DSG 7vel,150 CV,Diésel,"4,7 L/100",5
ALFA ROMEO,JUNIOR,ALFA ROMEO JUNIOR IBRIDA TI 1.2 VGT,145 CV,Híbrido,"5,0 L/100",5
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6T 239CV HEV AT KLASS,239 CV,Híbrido,"6,5 L/100",5
MG,ZS,MG ZS Hybrid+ Business,197 CV,Híbrido,"6,5 L/100",5
JAECOO,5,JAECOO 5 HEV EXCLUSIVE 1.5T DHE + 2 MOTORES ELÉCTRICOS 224 CV,224 CV,Híbrido,"5,3 L/100",5
PEUGEOT,RIFTER,Peugeot Rifter Active Business Standard BlueHDi 100,102 CV,Diésel,"5,4 L/100",5
SKODA,OCTAVIA,ŠKODA OCTAVIA COMBI SELECTION 2.0 TDI 150CV DSG 7vel,150 CV,Diésel,"4,7 L/100",5
BYD,DOLPHIN,BYD DOLPHIN DOLPHIN SURF BOOST,88 CV,Eléctrico,"16 kWh/100",4
AUDI,A1,Audi A1 Sportback Adrenalin 30 TFSI 85kW S tron,116 CV,Gasolina,"5,4 L/100",5
NISSAN,JUKE,Nissan Juke 1.6 Hybrid 105kW (145CV) N-Connecta,145 CV,Híbrido,"6,5 L/100",5
TOYOTA,C-HR,TOYOTA C-HR ADVANCE HYBRID 140 e-CVT,140 CV,Híbrido,"4,8 L/100",5
